student_id,study_time_hours,attendance_percent,sleep_hours,previous_grade,final_exam_score,final_grade,final_grade_num,gender_Female,gender_Male,internet_access_No,internet_access_Yes,extracurricular_activities_No,extracurricular_activities_Yes,part_time_job_No,part_time_job_Yes,parental_education_Bachelors,parental_education_High School,parental_education_Masters,parental_education_Not specified,parental_education_PhD,parental_education_temp
1,4.0,98.0,6.5,76.9,100.0,A,5,False,True,False,True,False,True,True,False,True,False,False,False,False,Bachelors
2,6.3,100.0,5.7,75.5,100.0,A,5,True,False,False,True,False,True,False,True,False,True,False,False,False,High School
3,4.9,85.3,7.9,88.5,97.3,A,5,False,True,False,True,True,False,False,True,True,False,False,False,False,Bachelors
4,2.6,77.5,8.0,85.1,83.8,B,4,False,True,False,True,False,True,True,False,False,False,False,True,False,Not specified
5,2.2,89.6,4.6,61.8,68.3,D,2,False,True,False,True,True,False,False,True,True,False,False,False,False,Bachelors
6,4.2,78.2,5.7,79.8,81.6,B,4,True,False,False,True,True,False,True,False,False,True,False,False,False,High School
7,1.5,100.0,5.0,58.6,69.6,D,2,False,True,False,True,False,True,False,True,False,True,False,False,False,High School
8,6.2,86.4,6.0,78.4,88.0,B,4,False,True,False,True,False,True,True,False,False,True,False,False,False,High School
9,5.3,81.3,6.7,63.8,84.4,B,4,False,True,False,True,True,False,True,False,True,False,False,False,False,Bachelors
10,2.8,86.8,5.1,57.7,74.3,C,3,True,False,False,True,False,True,True,False,True,False,False,False,False,Bachelors
11,0.9,71.5,5.7,73.4,68.9,D,2,False,True,False,True,True,False,False,True,False,True,False,False,False,High School
12,5.5,75.3,5.6,37.9,76.7,C,3,False,True,False,True,False,True,True,False,False,False,False,True,False,Not specified
13,3.3,97.0,7.0,49.0,82.6,B,4,False,True,False,True,False,True,False,True,False,False,True,False,False,Masters
14,5.4,78.4,6.9,67.9,93.3,A,5,False,True,True,False,True,False,True,False,True,False,False,False,False,Bachelors
15,1.1,74.5,5.9,71.0,73.9,C,3,True,False,False,True,False,True,False,True,False,False,True,False,False,Masters
16,2.6,90.4,7.0,65.6,84.8,B,4,False,True,False,True,False,True,True,False,False,True,False,False,False,High School
17,3.5,96.9,6.1,51.0,81.5,B,4,True,False,False,True,False,True,True,False,True,False,False,False,False,Bachelors
18,3.6,92.2,6.5,60.2,75.5,C,3,True,False,False,True,False,True,False,True,True,False,False,False,False,Bachelors
19,2.8,95.0,8.8,74.7,89.7,B,4,True,False,True,False,False,True,True,False,False,False,True,False,False,Masters
